Date,Name,Year,Letterboxd URI
2024-01-12,Barbie,2023,https://boxd.it/bCLK
2024-01-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2024-01-12,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY
2024-01-12,Midsommar,2019,https://boxd.it/jhxe
2024-01-14,Drive Me Crazy,1999,https://boxd.it/1O7s
2024-03-24,Love Lies Bleeding,2024,https://boxd.it/zN4q
2024-05-21,Whip It,2009,https://boxd.it/1A3m
2024-05-23,Ready or Not,2019,https://boxd.it/kOf0
2024-05-28,The Iron Claw,2023,https://boxd.it/w5Pm
2024-07-03,Bottoms,2023,https://boxd.it/uGf2
2024-09-06,Alien: Romulus,2024,https://boxd.it/zGqO
2024-10-27,Smile 2,2024,https://boxd.it/FDA4
2024-10-27,We Live in Time,2024,https://boxd.it/FC5u
2024-11-09,Heretic,2024,https://boxd.it/H1lY
2025-01-07,A Complete Unknown,2024,https://boxd.it/oBYa
2025-01-08,Gran Turismo,2023,https://boxd.it/B2lS
2025-01-11,The Book of Life,2014,https://boxd.it/6JKY
2025-01-14,Hairspray,2007,https://boxd.it/261M
2025-02-02,Companion,2025,https://boxd.it/F04o
2025-02-02,Drive-Away Dolls,2024,https://boxd.it/A8vi
2025-03-15,Mickey 17,2025,https://boxd.it/q1Dk
2025-04-19,A Minecraft Movie,2025,https://boxd.it/zRro
2025-04-19,Sinners,2025,https://boxd.it/KQMM
2025-04-22,The Edge of Seventeen,2016,https://boxd.it/d5nu
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C
2025-07-30,Superman,2025,https://boxd.it/E9IU
2025-10-06,One Battle After Another,2025,https://boxd.it/DUHM
2025-10-06,Weapons,2025,https://boxd.it/EMTM
2025-10-06,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ
2025-10-06,KPop Demon Hunters,2025,https://boxd.it/ufwK
2026-04-02,Hoppers,2026,https://boxd.it/OFpg
2026-04-14,Strange Magic,2015,https://boxd.it/9CL2
2026-04-14,Guardians of the Galaxy,2014,https://boxd.it/3VH2
2026-04-14,Lost and Delirious,2001,https://boxd.it/1Ina
2026-04-14,Imagine Me & You,2005,https://boxd.it/28E2
2026-04-14,I Can't Think Straight,2008,https://boxd.it/1jAI
2026-04-14,D.E.B.S.,2004,https://boxd.it/2aaS
2026-04-14,Crush,2022,https://boxd.it/wuHW
2026-04-14,The Half of It,2020,https://boxd.it/m0T4
2026-04-14,Cosmic Princess Kaguya!,2026,https://boxd.it/YJb8
2026-04-14,Heathers,1989,https://boxd.it/26x4
2026-04-14,Pitch Perfect,2012,https://boxd.it/3OsE
