Date,Name,Year,Letterboxd URI,Rating
2024-01-12,Barbie,2023,https://boxd.it/bCLK,5
2024-01-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,5
2024-01-12,Midsommar,2019,https://boxd.it/jhxe,4
2024-01-14,Drive Me Crazy,1999,https://boxd.it/1O7s,4
2024-03-24,Love Lies Bleeding,2024,https://boxd.it/zN4q,4.5
2024-05-21,Whip It,2009,https://boxd.it/1A3m,4
2024-05-23,Totally Killer,2023,https://boxd.it/AOpG,3
2024-05-23,Ready or Not,2019,https://boxd.it/kOf0,4
2024-05-28,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-07-03,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,3
2024-07-03,Bottoms,2023,https://boxd.it/uGf2,5
2024-08-17,Borderlands,2024,https://boxd.it/cDme,1.5
2024-09-06,Alien: Romulus,2024,https://boxd.it/zGqO,3.5
2024-10-27,The Substance,2024,https://boxd.it/zanS,4
2024-10-27,Smile 2,2024,https://boxd.it/FDA4,4
2024-10-27,We Live in Time,2024,https://boxd.it/FC5u,4
2024-10-27,MaXXXine,2024,https://boxd.it/CIM4,2.5
2024-11-09,Heretic,2024,https://boxd.it/H1lY,3.5
2024-12-27,The Holdovers,2023,https://boxd.it/vHza,4
2025-01-07,Mufasa: The Lion King,2024,https://boxd.it/sE9C,3
2025-01-07,Kraven the Hunter,2024,https://boxd.it/jGuE,1.5
2025-01-07,Moana 2,2024,https://boxd.it/LcjW,3.5
2025-01-07,A Complete Unknown,2024,https://boxd.it/oBYa,4
2025-01-08,Gran Turismo,2023,https://boxd.it/B2lS,5
2025-01-11,The Book of Life,2014,https://boxd.it/6JKY,5
2025-01-14,Hairspray,2007,https://boxd.it/261M,5
2025-02-02,Companion,2025,https://boxd.it/F04o,3.5
2025-02-02,Drive-Away Dolls,2024,https://boxd.it/A8vi,4
2025-03-15,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-03-15,Opus,2025,https://boxd.it/JBMA,3.5
2025-04-19,A Minecraft Movie,2025,https://boxd.it/zRro,3
2025-04-19,Sinners,2025,https://boxd.it/KQMM,5
2025-04-22,The Edge of Seventeen,2016,https://boxd.it/d5nu,3.5
2025-07-30,The Fantastic 4: First Steps,2025,https://boxd.it/mP6C,4
2025-07-30,Superman,2025,https://boxd.it/E9IU,5
2025-07-30,Death of a Unicorn,2025,https://boxd.it/HCPm,3.5
2025-10-06,One Battle After Another,2025,https://boxd.it/DUHM,4
2025-10-06,The Smashing Machine,2025,https://boxd.it/syUC,3.5
2025-10-06,The Long Walk,2025,https://boxd.it/mic8,3.5
2025-10-06,Weapons,2025,https://boxd.it/EMTM,4.5
2025-10-06,Demon Slayer: Kimetsu no Yaiba Infinity Castle,2025,https://boxd.it/O1GQ,4
2025-10-06,28 Years Later,2025,https://boxd.it/FEGM,3.5
2025-10-06,KPop Demon Hunters,2025,https://boxd.it/ufwK,4
2025-10-06,Honey Don't!,2025,https://boxd.it/Hurc,2.5
2025-10-06,Elio,2025,https://boxd.it/CFr8,3
2025-10-06,How to Train Your Dragon,2025,https://boxd.it/F7Je,3.5
2026-04-02,Hoppers,2026,https://boxd.it/OFpg,4.5
2026-04-02,Forbidden Fruits,2026,https://boxd.it/TI9g,3.5
2026-04-14,Strange Magic,2015,https://boxd.it/9CL2,4
2026-04-14,Guardians of the Galaxy,2014,https://boxd.it/3VH2,5
2026-04-14,Lost and Delirious,2001,https://boxd.it/1Ina,3.5
2026-04-14,Imagine Me & You,2005,https://boxd.it/28E2,5
2026-04-14,Saving Face,2004,https://boxd.it/1Fj0,4
2026-04-14,I Can't Think Straight,2008,https://boxd.it/1jAI,4
2026-04-14,D.E.B.S.,2004,https://boxd.it/2aaS,4
2026-04-14,Crush,2022,https://boxd.it/wuHW,4.5
2026-04-14,The Half of It,2020,https://boxd.it/m0T4,4
2026-04-14,Cosmic Princess Kaguya!,2026,https://boxd.it/YJb8,5
2026-04-14,Heathers,1989,https://boxd.it/26x4,4
2026-04-14,Pitch Perfect,2012,https://boxd.it/3OsE,4
2026-04-14,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2026-04-14,Dune: Part Two,2024,https://boxd.it/pUfA,4
2026-04-14,Dune,2021,https://boxd.it/fA7G,3.5
